State,"Census population, April 1, 2010
[3]"
California,"37,254,523"
Texas,"25,145,561"
Florida,"18,801,310"
New York,"19,378,102"
Pennsylvania,"12,702,379"
Illinois,"12,830,632"
Ohio,"11,536,504"
Georgia,"9,687,653"
North Carolina,"9,535,483"
Michigan,"9,883,640"
New Jersey,"8,791,894"
Virginia,"8,001,024"
Washington,"6,724,540"
Arizona,"6,392,017"
Massachusetts,"6,547,629"
Tennessee,"6,346,105"
Indiana,"6,483,802"
Missouri,"5,988,927"
Maryland,"5,773,552"
Wisconsin,"5,686,986"
Colorado,"5,029,196"
Minnesota,"5,303,925"
South Carolina,"4,625,364"
Alabama,"4,779,736"
Louisiana,"4,533,372"
Kentucky,"4,339,367"
Oregon,"3,831,074"
Oklahoma,"3,751,351"
Connecticut,"3,574,097"
Utah,"2,763,885"
Iowa,"3,046,355"
Puerto Rico,"3,725,789"
Nevada,"2,700,551"
Arkansas,"2,915,918"
Mississippi,"2,967,297"
Kansas,"2,853,118"
New Mexico,"2,059,179"
Nebraska,"1,826,341"
Idaho,"1,567,582"
West Virginia,"1,852,994"
Hawaii,"1,360,301"
New Hampshire,"1,316,470"
Maine,"1,328,361"
Montana,"989,415"
Rhode Island,"1,052,567"
Delaware,"897,934"
South Dakota,"814,180"
North Dakota,"672,591"
Alaska,"710,231"
District of Columbia,"601,723"
Vermont,"625,741"
Wyoming,"563,626"
Guam,"159,358[4]"
U.S. Virgin Islands,"106,405[5]"
American Samoa,"55,519[6]"
Northern Mariana Islands,"53,883[7]"
*Contiguous United States*,"306,675,006"
*The fifty states*,"308,143,836"
*Fifty states + D.C.*,"308,745,538"
*Total U.S. (including D.C. and territories)*,"312,846,492"